model_name,threshold_probability,net_benefit,treat_all_net_benefit,treat_none_net_benefit
BioMedCLIP_Finetuned,0.05,0.13273034985988957,0.1659961712399079,0.0
BioMedCLIP_Finetuned,0.07500000000000001,0.11662796164641184,0.14345552721936486,0.0
BioMedCLIP_Finetuned,0.1,0.10097815263866924,0.11966262519768055,0.0
BioMedCLIP_Finetuned,0.125,0.08863619248437382,0.09451012877475715,0.0
BioMedCLIP_Finetuned,0.15000000000000002,0.07628143508325838,0.06787807373872054,0.0
BioMedCLIP_Finetuned,0.175,0.06169230523474066,0.039631954761106036,0.0
BioMedCLIP_Finetuned,0.2,0.04717975751186082,0.009620453347390617,0.0
BioMedCLIP_Finetuned,0.22500000000000003,0.032989269984865704,-0.02232727396398393,0.0
BioMedCLIP_Finetuned,0.25,0.019153048673343873,-0.05640484976278334,0.0
BioMedCLIP_Finetuned,0.275,0.002399432861323658,-0.09283260320287937,0.0
BioMedCLIP_Finetuned,0.3,-0.014157692597334126,-0.13186233903155362,0.0
BioMedCLIP_Finetuned,0.325,-0.02994982330775689,-0.17378316640309258,0.0
BioMedCLIP_Finetuned,0.35000000000000003,-0.04732168200802889,-0.21892867280321163,0.0
BioMedCLIP_Finetuned,0.375,-0.06642066420664205,-0.26768581971534,0.0
BioMedCLIP_Finetuned,0.4,-0.08750658935160782,-0.3205060622034793,0.0
BioMedCLIP_Finetuned,0.425,-0.10694231165914145,-0.3779193692558045,0.0
BioMedCLIP_Finetuned,0.45,-0.12972636219868686,-0.4405520678583409,0.0
BioMedCLIP_Finetuned,0.47500000000000003,-0.15324949167859034,-0.509149785375405,0.0
BioMedCLIP_Finetuned,0.5,-0.1808118081180812,-0.5846072746441751,0.0
BioMedCLIP_Finetuned,0.525,-0.2093887856171795,-0.6680076575201843,0.0
BioMedCLIP_Finetuned,0.55,-0.240848122766942,-0.7606747496046392,0.0
BioMedCLIP_Finetuned,0.5750000000000001,-0.2774039505100934,-0.8642438525225591,0.0
BioMedCLIP_Finetuned,0.6000000000000001,-0.315761729045862,-0.9807590933052193,0.0
BioMedCLIP_Finetuned,0.6250000000000001,-0.3612721841504131,-1.1128096995255674,0.0
BioMedCLIP_Finetuned,0.6500000000000001,-0.405527524663002,-1.2637246780631082,0.0
BioMedCLIP_Finetuned,0.675,-0.458659421759053,-1.4378573456064236,0.0
BioMedCLIP_Finetuned,0.7000000000000001,-0.5171323141802848,-1.6410121244069589,0.0
BioMedCLIP_Finetuned,0.7250000000000001,-0.5909809747448127,-1.881104135716683,0.0
BioMedCLIP_Finetuned,0.7500000000000001,-0.667369530838166,-2.1692145492883514,0.0
BioMedCLIP_Finetuned,0.7750000000000001,-0.7627247701048445,-2.52134949920928,0.0
BioMedCLIP_Finetuned,0.8,-0.8798102266736956,-2.9615181866104385,0.0
ClinicalOnly_Logistic,0.05,0.16244485753128207,0.1659961712399079,0.0
ClinicalOnly_Logistic,0.07500000000000001,0.1408340338229637,0.14345552721936486,0.0
ClinicalOnly_Logistic,0.1,0.117964036783225,0.11966262519768055,0.0
ClinicalOnly_Logistic,0.125,0.09466074252579262,0.09451012877475715,0.0
ClinicalOnly_Logistic,0.15000000000000002,0.07054482309528974,0.06787807373872054,0.0
ClinicalOnly_Logistic,0.175,0.049040750147761214,0.039631954761106036,0.0
ClinicalOnly_Logistic,0.2,0.030179230363732212,0.009620453347390617,0.0
ClinicalOnly_Logistic,0.22500000000000003,0.013671841787542244,-0.02232727396398393,0.0
ClinicalOnly_Logistic,0.25,-0.002284308557371273,-0.05640484976278334,0.0
ClinicalOnly_Logistic,0.275,-0.021958446185447095,-0.09283260320287937,0.0
ClinicalOnly_Logistic,0.3,-0.03305971835228558,-0.13186233903155362,0.0
ClinicalOnly_Logistic,0.325,-0.04101993400886389,-0.17378316640309258,0.0
ClinicalOnly_Logistic,0.35000000000000003,-0.06260897773812907,-0.21892867280321163,0.0
ClinicalOnly_Logistic,0.375,-0.08371112282551396,-0.26768581971534,0.0
ClinicalOnly_Logistic,0.4,-0.1077139342822,-0.3205060622034793,0.0
ClinicalOnly_Logistic,0.425,-0.06885012949508379,-0.3779193692558045,0.0
ClinicalOnly_Logistic,0.45,-0.0978099391383524,-0.4405520678583409,0.0
ClinicalOnly_Logistic,0.47500000000000003,-0.11712729372191688,-0.509149785375405,0.0
ClinicalOnly_Logistic,0.5,-0.13969425408539796,-0.5846072746441751,0.0
ClinicalOnly_Logistic,0.525,-0.16202868795605255,-0.6680076575201843,0.0
ClinicalOnly_Logistic,0.55,-0.19112048263339784,-0.7606747496046392,0.0
ClinicalOnly_Logistic,0.5750000000000001,-0.2346429346646408,-0.8642438525225591,0.0
ClinicalOnly_Logistic,0.6000000000000001,-0.26831839746968916,-0.9807590933052193,0.0
ClinicalOnly_Logistic,0.6250000000000001,-0.3113688279739942,-1.1128096995255674,0.0
ClinicalOnly_Logistic,0.6500000000000001,-0.29377212139468356,-1.2637246780631082,0.0
ClinicalOnly_Logistic,0.675,-0.33388751469932293,-1.4378573456064236,0.0
ClinicalOnly_Logistic,0.7000000000000001,-0.24512387981022676,-1.6410121244069589,0.0
ClinicalOnly_Logistic,0.7250000000000001,-0.1980639286912351,-1.881104135716683,0.0
ClinicalOnly_Logistic,0.7500000000000001,-0.18977332630469174,-2.1692145492883514,0.0
ClinicalOnly_Logistic,0.7750000000000001,-0.25244538159667335,-2.52134949920928,0.0
ClinicalOnly_Logistic,0.8,-0.2994201370585135,-2.9615181866104385,0.0
ClinicalOnly_XGBoost,0.05,0.1415531448547568,0.1659961712399079,0.0
ClinicalOnly_XGBoost,0.07500000000000001,0.12339540383820825,0.14345552721936486,0.0
ClinicalOnly_XGBoost,0.1,0.10870965852515668,0.11966262519768055,0.0
ClinicalOnly_XGBoost,0.125,0.09089539874990586,0.09451012877475715,0.0
ClinicalOnly_XGBoost,0.15000000000000002,0.07901020186672456,0.06787807373872054,0.0
ClinicalOnly_XGBoost,0.175,0.06691586396383445,0.039631954761106036,0.0
ClinicalOnly_XGBoost,0.2,0.05192409066947812,0.009620453347390617,0.0
ClinicalOnly_XGBoost,0.22500000000000003,0.03695138333871817,-0.02232727396398393,0.0
ClinicalOnly_XGBoost,0.25,0.02653312247408189,-0.05640484976278334,0.0
ClinicalOnly_XGBoost,0.275,0.013760383909257795,-0.09283260320287937,0.0
ClinicalOnly_XGBoost,0.3,0.003840650651404473,-0.13186233903155362,0.0
ClinicalOnly_XGBoost,0.325,-0.002635740643120707,-0.17378316640309258,0.0
ClinicalOnly_XGBoost,0.35000000000000003,-0.010989010989010992,-0.21892867280321163,0.0
ClinicalOnly_XGBoost,0.375,-0.019926199261992614,-0.26768581971534,0.0
ClinicalOnly_XGBoost,0.4,-0.027763134774204903,-0.3205060622034793,0.0
ClinicalOnly_XGBoost,0.425,-0.04061332538791228,-0.3779193692558045,0.0
ClinicalOnly_XGBoost,0.45,-0.04624526764748167,-0.4405520678583409,0.0
ClinicalOnly_XGBoost,0.47500000000000003,-0.05710771393428224,-0.509149785375405,0.0
ClinicalOnly_XGBoost,0.5,-0.06167633104902478,-0.5846072746441751,0.0
ClinicalOnly_XGBoost,0.525,-0.07080431706572707,-0.6680076575201843,0.0
ClinicalOnly_XGBoost,0.55,-0.07895507526503841,-0.7606747496046392,0.0
ClinicalOnly_XGBoost,0.5750000000000001,-0.09063846940990422,-0.8642438525225591,0.0
ClinicalOnly_XGBoost,0.6000000000000001,-0.08908803373748028,-0.9807590933052193,0.0
ClinicalOnly_XGBoost,0.6250000000000001,-0.09435951502372172,-1.1128096995255674,0.0
ClinicalOnly_XGBoost,0.6500000000000001,-0.08396716620227432,-1.2637246780631082,0.0
ClinicalOnly_XGBoost,0.675,-0.07676087749888491,-1.4378573456064236,0.0
ClinicalOnly_XGBoost,0.7000000000000001,-0.08504656475136184,-1.6410121244069589,0.0
ClinicalOnly_XGBoost,0.7250000000000001,-0.07442373125029955,-1.881104135716683,0.0
ClinicalOnly_XGBoost,0.7500000000000001,-0.05693199789140752,-2.1692145492883514,0.0
ClinicalOnly_XGBoost,0.7750000000000001,-0.05622913371990867,-2.52134949920928,0.0
ClinicalOnly_XGBoost,0.8,-0.05640484976278336,-2.9615181866104385,0.0
ColposcopyOCTText_CrossAttention,0.05,0.14715756180118192,0.1659961712399079,0.0
ColposcopyOCTText_CrossAttention,0.07500000000000001,0.12915129151291513,0.14345552721936486,0.0
ColposcopyOCTText_CrossAttention,0.1,0.11105253909681953,0.11966262519768055,0.0
ColposcopyOCTText_CrossAttention,0.125,0.09594095940959409,0.09451012877475715,0.0
ColposcopyOCTText_CrossAttention,0.15000000000000002,0.07941331514155478,0.06787807373872054,0.0
ColposcopyOCTText_CrossAttention,0.175,0.06341751729205604,0.039631954761106036,0.0
ColposcopyOCTText_CrossAttention,0.2,0.04942013705851345,0.009620453347390617,0.0
ColposcopyOCTText_CrossAttention,0.22500000000000003,0.03237709796452801,-0.02232727396398393,0.0
ColposcopyOCTText_CrossAttention,0.25,0.014584431558601313,-0.05640484976278334,0.0
ColposcopyOCTText_CrossAttention,0.275,-0.0027629832948575794,-0.09283260320287937,0.0
ColposcopyOCTText_CrossAttention,0.3,-0.022140221402214028,-0.13186233903155362,0.0
ColposcopyOCTText_CrossAttention,0.325,-0.04055135789453132,-0.17378316640309258,0.0
ColposcopyOCTText_CrossAttention,0.35000000000000003,-0.06058148493572851,-0.21892867280321163,0.0
ColposcopyOCTText_CrossAttention,0.375,-0.08381655245123881,-0.26768581971534,0.0
