model_name,fold_id,center,calibration_variant,uses_unlabeled_target_distribution,temperature,median_offset,auroc,brier,ece,sensitivity,specificity,ppv,npv,cin3_sensitivity,cin3_false_negatives,referral_rate
BioMedCLIP_Finetuned,loco_十堰市人民医院,十堰市人民医院,no_calibration,False,,,0.6597985347985348,0.1527103031325676,0.1749460958291888,0.42857142857142855,0.8247863247863247,0.1276595744680851,0.9601990049751243,0.25,3,0.18951612903225806
BioMedCLIP_Finetuned,loco_十堰市人民医院,十堰市人民医院,threshold_lock_only,False,,,0.6597985347985348,0.1527103031325676,0.1749460958291888,0.0,1.0,,0.9435483870967742,0.0,4,0.0
BioMedCLIP_Finetuned,loco_十堰市人民医院,十堰市人民医院,temperature_scaling_val_only,False,4.3500000000000005,,0.6597985347985348,0.14080907909135706,0.2553402895953982,0.0,1.0,,0.9435483870967742,0.0,4,0.0
BioMedCLIP_Finetuned,loco_十堰市人民医院,十堰市人民医院,logit_median_matching_target_unlabeled,True,,1.0581160658465647,0.6597985347985348,0.19899823649822088,0.22668791636010155,0.0,1.0,,0.9435483870967742,0.0,4,0.0
BioMedCLIP_Finetuned,loco_十堰市人民医院,十堰市人民医院,full_model_calibration,True,,1.0581160658465647,0.6597985347985348,0.19899823649822088,0.22668791636010155,0.0,1.0,,0.9435483870967742,0.0,4,0.0
BioMedCLIP_Finetuned,loco_恩施州中心医院,恩施州中心医院,no_calibration,False,,,0.7493589743589744,0.23686243842062268,0.2159451051514611,0.6076923076923076,0.7644927536231884,0.5486111111111112,0.8053435114503816,0.6875,20,0.35467980295566504
BioMedCLIP_Finetuned,loco_恩施州中心医院,恩施州中心医院,threshold_lock_only,False,,,0.7493589743589744,0.23686243842062268,0.2159451051514611,0.2,0.9855072463768116,0.8666666666666667,0.723404255319149,0.109375,57,0.07389162561576355
BioMedCLIP_Finetuned,loco_恩施州中心医院,恩施州中心医院,temperature_scaling_val_only,False,2.8000000000000003,,0.7493589743589744,0.19481502475439577,0.10595439869876118,0.0,1.0,,0.6798029556650246,0.0,64,0.0
BioMedCLIP_Finetuned,loco_恩施州中心医院,恩施州中心医院,logit_median_matching_target_unlabeled,True,,-1.961794189289897,0.7493589743589744,0.21857989346910134,0.20220419049725816,0.15384615384615385,0.9963768115942029,0.9523809523809523,0.7142857142857143,0.0,64,0.05172413793103448
BioMedCLIP_Finetuned,loco_恩施州中心医院,恩施州中心医院,full_model_calibration,True,,-1.961794189289897,0.7493589743589744,0.21857989346910134,0.20220419049725816,0.15384615384615385,0.9963768115942029,0.9523809523809523,0.7142857142857143,0.0,64,0.05172413793103448
BioMedCLIP_Finetuned,loco_武大人民医院,武大人民医院,no_calibration,False,,,,0.3562169739731759,0.42433974628740323,0.5842696629213483,,1.0,0.0,0.6938775510204082,15,0.5842696629213483
BioMedCLIP_Finetuned,loco_武大人民医院,武大人民医院,threshold_lock_only,False,,,,0.3562169739731759,0.42433974628740323,0.6966292134831461,,1.0,0.0,0.7551020408163265,12,0.6966292134831461
BioMedCLIP_Finetuned,loco_武大人民医院,武大人民医院,temperature_scaling_val_only,False,3.3000000000000003,,,0.2758508011438066,0.4520305105787145,0.9775280898876404,,1.0,0.0,0.8163265306122449,9,0.9775280898876404
BioMedCLIP_Finetuned,loco_武大人民医院,武大人民医院,logit_median_matching_target_unlabeled,True,,-5.083376966650182,,0.7470931589618699,0.7971518075336699,0.3258426966292135,,1.0,0.0,0.30612244897959184,34,0.3258426966292135
BioMedCLIP_Finetuned,loco_武大人民医院,武大人民医院,full_model_calibration,True,,-5.083376966650182,,0.7470931589618699,0.7971518075336699,0.3258426966292135,,1.0,0.0,0.30612244897959184,34,0.3258426966292135
BioMedCLIP_Finetuned,loco_荆州市第一人民医院,荆州市第一人民医院,no_calibration,False,,,0.5928367391782026,0.5629075234367742,0.5992740052693402,0.8108108108108109,0.3333333333333333,0.10869565217391304,0.9461538461538461,0.8461538461538461,2,0.6798029556650246
BioMedCLIP_Finetuned,loco_荆州市第一人民医院,荆州市第一人民医院,threshold_lock_only,False,,,0.5928367391782026,0.5629075234367742,0.5992740052693402,0.3783783783783784,0.7235772357723578,0.1206896551724138,0.9206896551724137,0.3076923076923077,9,0.2857142857142857
BioMedCLIP_Finetuned,loco_荆州市第一人民医院,荆州市第一人民医院,temperature_scaling_val_only,False,3.4000000000000004,,0.5931297150809346,0.43228423051508197,0.5425535963534573,0.0,1.0,,0.9088669950738916,0.0,13,0.0
BioMedCLIP_Finetuned,loco_荆州市第一人民医院,荆州市第一人民医院,logit_median_matching_target_unlabeled,True,,-4.9679049579553,0.5931297150809346,0.2943359486244112,0.3114751671236589,0.05405405405405406,0.94579945799458,0.09090909090909091,0.9088541666666666,0.15384615384615385,11,0.054187192118226604
BioMedCLIP_Finetuned,loco_荆州市第一人民医院,荆州市第一人民医院,full_model_calibration,True,,-4.9679049579553,0.5931297150809346,0.2943359486244112,0.3114751671236589,0.05405405405405406,0.94579945799458,0.09090909090909091,0.9088541666666666,0.15384615384615385,11,0.054187192118226604
BioMedCLIP_Finetuned,loco_襄阳市中心医院,襄阳市中心医院,no_calibration,False,,,0.5485780885780887,0.40758695198015765,0.41651812480893324,0.6,0.5153846153846153,0.25882352941176473,0.8204081632653061,0.7377049180327869,16,0.51
BioMedCLIP_Finetuned,loco_襄阳市中心医院,襄阳市中心医院,threshold_lock_only,False,,,0.5485780885780887,0.40758695198015765,0.41651812480893324,0.37272727272727274,0.7333333333333333,0.2827586206896552,0.8056338028169014,0.06557377049180328,57,0.29
BioMedCLIP_Finetuned,loco_襄阳市中心医院,襄阳市中心医院,temperature_scaling_val_only,False,2.45,,0.5485780885780887,0.3466550249105301,0.36262966314322537,0.11818181818181818,0.9358974358974359,0.34210526315789475,0.79004329004329,0.0,61,0.076
BioMedCLIP_Finetuned,loco_襄阳市中心医院,襄阳市中心医院,logit_median_matching_target_unlabeled,True,,-2.772696379757257,0.5485780885780887,0.31354965730074635,0.30555765220141207,0.16363636363636364,0.8641025641025641,0.2535211267605634,0.7855477855477856,0.0,61,0.142
BioMedCLIP_Finetuned,loco_襄阳市中心医院,襄阳市中心医院,full_model_calibration,True,,-2.772696379757257,0.5485780885780887,0.31354965730074635,0.30555765220141207,0.16363636363636364,0.8641025641025641,0.2535211267605634,0.7855477855477856,0.0,61,0.142
ClinicalOnly_Logistic,loco_十堰市人民医院,十堰市人民医院,no_calibration,False,,,0.8004426129426129,0.1602516245867557,0.2942131159800262,0.6428571428571429,0.8482905982905983,0.20224719101123595,0.9754299754299754,0.25,3,0.17943548387096775
ClinicalOnly_Logistic,loco_十堰市人民医院,十堰市人民医院,threshold_lock_only,False,,,0.8004426129426129,0.1602516245867557,0.2942131159800262,0.8214285714285714,0.6239316239316239,0.11557788944723618,0.9831649831649831,0.5,2,0.4012096774193548
