variant,model_name,center,n,auroc,auprc,brier,ece,accuracy,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,tp,fp,tn,fn
BioMedCLIP_Finetuned,BioMedCLIP_Finetuned,十堰市人民医院,496,0.6597985347985348,0.13730566038138226,0.1527103031325676,0.1749460958291888,0.9435483870967742,0.0,1.0,,0.9435483870967742,0.0,0.5,0.0,0,0,468,28
BioMedCLIP_Finetuned,BioMedCLIP_Finetuned,恩施州中心医院,406,0.7493589743589744,0.6403194875120592,0.23686243842062268,0.2159451051514611,0.7339901477832512,0.2,0.9855072463768116,0.8666666666666667,0.723404255319149,0.325,0.5927536231884059,0.07389162561576355,26,4,272,104
BioMedCLIP_Finetuned,BioMedCLIP_Finetuned,武大人民医院,89,,,0.3562169739731759,0.42433974628740323,0.6966292134831461,0.6966292134831461,,1.0,0.0,0.8211920529801324,,0.6966292134831461,62,0,0,27
BioMedCLIP_Finetuned,BioMedCLIP_Finetuned,荆州市第一人民医院,406,0.5928367391782026,0.11984056957561787,0.5629075234367742,0.5992740052693402,0.6921182266009852,0.3783783783783784,0.7235772357723578,0.1206896551724138,0.9206896551724137,0.1830065359477124,0.5509778070753681,0.2857142857142857,14,102,267,23
BioMedCLIP_Finetuned,BioMedCLIP_Finetuned,襄阳市中心医院,500,0.5485780885780887,0.2625735755287156,0.40758695198015765,0.41651812480893324,0.654,0.37272727272727274,0.7333333333333333,0.2827586206896552,0.8056338028169014,0.3215686274509804,0.553030303030303,0.29,41,104,286,69
same_backbone_clinical_only,ClinicalOnly_Logistic,十堰市人民医院,496,0.8004426129426129,0.15733220194446704,0.1602516245867557,0.2942131159800262,0.6350806451612904,0.8214285714285714,0.6239316239316239,0.11557788944723618,0.9831649831649831,0.2026431718061674,0.7226800976800977,0.4012096774193548,23,176,292,5
same_backbone_clinical_only,ClinicalOnly_Logistic,恩施州中心医院,406,0.6693979933110368,0.49050566252527944,0.31518319185893523,0.3208351104126817,0.45320197044334976,0.9538461538461539,0.21739130434782608,0.36470588235294116,0.9090909090909091,0.5276595744680851,0.58561872909699,0.8374384236453202,124,216,60,6
same_backbone_clinical_only,ClinicalOnly_Logistic,武大人民医院,89,,,0.15843445061641648,0.37186525627417166,0.5393258426966292,0.5393258426966292,,1.0,0.0,0.7007299270072993,,0.5393258426966292,48,0,0,41
same_backbone_clinical_only,ClinicalOnly_Logistic,荆州市第一人民医院,406,0.8082106496740644,0.3420632790159404,0.12637423986064128,0.2017190868169549,0.43842364532019706,0.972972972972973,0.38482384823848237,0.13688212927756654,0.993006993006993,0.24,0.6788984106057276,0.6477832512315271,36,227,142,1
same_backbone_clinical_only,ClinicalOnly_Logistic,襄阳市中心医院,500,0.48580419580419576,0.2610393987055945,0.36663885526775664,0.42802836011858886,0.348,0.5636363636363636,0.28717948717948716,0.18235294117647058,0.7,0.27555555555555555,0.4254079254079254,0.68,62,278,112,48
same_backbone_clinical_only,ClinicalOnly_XGBoost,十堰市人民医院,496,0.745650183150183,0.17950705298209274,0.07714125218787406,0.09741336732685169,0.5705645161290323,0.75,0.5598290598290598,0.09251101321585903,0.9739776951672863,0.16470588235294117,0.6549145299145299,0.4576612903225806,21,206,262,7
same_backbone_clinical_only,ClinicalOnly_XGBoost,恩施州中心医院,406,0.6768534002229654,0.4805032947005519,0.20922712348498299,0.10804384096534278,0.42610837438423643,0.9538461538461539,0.17753623188405798,0.35327635327635326,0.8909090909090909,0.5155925155925156,0.5656911928651059,0.8645320197044335,124,227,49,6
same_backbone_clinical_only,ClinicalOnly_XGBoost,武大人民医院,89,,,0.5589260739261099,0.7225885923867488,0.4943820224719101,0.4943820224719101,,1.0,0.0,0.6616541353383458,,0.4943820224719101,44,0,0,45
same_backbone_clinical_only,ClinicalOnly_XGBoost,荆州市第一人民医院,406,0.7370907492858713,0.25169574737048606,0.08631129294173343,0.061091110123562026,0.5738916256157636,0.7837837837837838,0.5528455284552846,0.14948453608247422,0.9622641509433962,0.2510822510822511,0.6683146561195341,0.47783251231527096,29,165,204,8
same_backbone_clinical_only,ClinicalOnly_XGBoost,襄阳市中心医院,500,0.4286247086247086,0.19107363126871188,0.2916803849747671,0.30430536762806143,0.406,0.5,0.37948717948717947,0.18518518518518517,0.729064039408867,0.2702702702702703,0.43974358974358974,0.594,55,242,148,55
same_backbone_colpo_only,ColposcopyOnly_ViT,十堰市人民医院,496,0.569787851037851,0.09417449786987027,0.3935155110048089,0.4464130582015399,0.5665322580645161,0.42857142857142855,0.5747863247863247,0.05687203791469194,0.9438596491228071,0.100418410041841,0.5016788766788767,0.4254032258064516,12,199,269,16
same_backbone_colpo_only,ColposcopyOnly_ViT,恩施州中心医院,406,0.6494425863991081,0.5244066056775402,0.25470562232420074,0.2298962234017934,0.6995073891625616,0.1,0.9818840579710145,0.7222222222222222,0.6984536082474226,0.17567567567567569,0.5409420289855073,0.04433497536945813,13,5,271,117
