model_name,center,protocol,n,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,f1,f1_ci_low,f1_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,brier,brier_ci_low,brier_ci_high,ece,ece_ci_low,ece_ci_high,referral_rate,referral_rate_ci_low,referral_rate_ci_high,ci_source
BioMedCLIP_Finetuned,十堰市人民医院,strict_loco,496,0.6597985347985348,,,0.13730566038138223,,,0.0,,,1.0,,,,,,0.9435483870967742,,,0.0,,,0.5,,,0.1527103031325676,,,0.17494608865513914,,,0.0,,,not_available_in_existing_step2_center_level_bootstrap
BioMedCLIP_Finetuned,恩施州中心医院,strict_loco,406,0.7493589743589744,,,0.6403194875120595,,,0.2,,,0.9855072463768116,,,0.8666666666666667,,,0.723404255319149,,,0.325,,,0.5927536231884059,,,0.23686243842062268,,,0.21594509236339915,,,0.07389162561576355,,,not_available_in_existing_step2_center_level_bootstrap
BioMedCLIP_Finetuned,武大人民医院,strict_loco,89,,,,1.0,,,0.6966292134831461,,,,,,1.0,,,0.0,,,0.8211920529801324,,,0.6966292134831461,,,0.3562169739731759,,,0.42433974628740323,,,0.6966292134831461,,,not_available_in_existing_step2_center_level_bootstrap
BioMedCLIP_Finetuned,荆州市第一人民医院,strict_loco,406,0.5931297150809346,,,0.12224297197802027,,,0.3783783783783784,,,0.7235772357723578,,,0.1206896551724138,,,0.9206896551724137,,,0.1830065359477124,,,0.5509778070753681,,,0.5629075234367742,,,0.5992739884927,,,0.2857142857142857,,,not_available_in_existing_step2_center_level_bootstrap
BioMedCLIP_Finetuned,襄阳市中心医院,strict_loco,500,0.5485780885780885,,,0.2625632026653118,,,0.37272727272727274,,,0.7333333333333333,,,0.2827586206896552,,,0.8056338028169014,,,0.3215686274509804,,,0.553030303030303,,,0.40758695198015765,,,0.41651812035113434,,,0.29,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_Logistic,十堰市人民医院,strict_loco,496,0.800442612942613,,,0.15349846732107406,,,0.8214285714285714,,,0.6239316239316239,,,0.11557788944723618,,,0.9831649831649831,,,0.2026431718061674,,,0.7226800976800977,,,0.1602516245867557,,,0.2942131159800262,,,0.4012096774193548,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_Logistic,恩施州中心医院,strict_loco,406,0.6693979933110368,,,0.49206936935872353,,,0.9538461538461539,,,0.21739130434782608,,,0.36470588235294116,,,0.9090909090909091,,,0.5276595744680851,,,0.58561872909699,,,0.31518319185893523,,,0.3208351128757359,,,0.8374384236453202,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_Logistic,武大人民医院,strict_loco,89,,,,1.0,,,0.5393258426966292,,,,,,1.0,,,0.0,,,0.7007299270072993,,,0.5393258426966292,,,0.15843445061641648,,,0.37186525627417166,,,0.5393258426966292,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_Logistic,荆州市第一人民医院,strict_loco,406,0.8082106496740643,,,0.3399254094837383,,,0.972972972972973,,,0.38482384823848237,,,0.13688212927756654,,,0.993006993006993,,,0.24,,,0.6788984106057276,,,0.12637423986064128,,,0.2017190868169549,,,0.6477832512315271,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_Logistic,襄阳市中心医院,strict_loco,500,0.4858041958041958,,,0.2838284172266274,,,0.5636363636363636,,,0.28717948717948716,,,0.18235294117647058,,,0.7,,,0.27555555555555555,,,0.4254079254079254,,,0.36663885526775664,,,0.42802836011858886,,,0.68,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_XGBoost,十堰市人民医院,strict_loco,496,0.7456501831501832,,,0.18112253122382718,,,0.75,,,0.5598290598290598,,,0.09251101321585903,,,0.9739776951672863,,,0.16470588235294117,,,0.6549145299145299,,,0.07714125218787406,,,0.09741336732685169,,,0.4576612903225806,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_XGBoost,恩施州中心医院,strict_loco,406,0.6768534002229655,,,0.48391649259572384,,,0.9538461538461539,,,0.17753623188405798,,,0.35327635327635326,,,0.8909090909090909,,,0.5155925155925156,,,0.5656911928651059,,,0.20922712348498299,,,0.10804384096534278,,,0.8645320197044335,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_XGBoost,武大人民医院,strict_loco,89,,,,1.0,,,0.4943820224719101,,,,,,1.0,,,0.0,,,0.6616541353383458,,,0.4943820224719101,,,0.5589260739261099,,,0.7225885923867488,,,0.4943820224719101,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_XGBoost,荆州市第一人民医院,strict_loco,406,0.7370907492858713,,,0.24645782701286775,,,0.7837837837837838,,,0.5528455284552846,,,0.14948453608247422,,,0.9622641509433962,,,0.2510822510822511,,,0.6683146561195341,,,0.08631129294173343,,,0.061091110123562026,,,0.47783251231527096,,,not_available_in_existing_step2_center_level_bootstrap
ClinicalOnly_XGBoost,襄阳市中心医院,strict_loco,500,0.42862470862470864,,,0.19134224735230237,,,0.5,,,0.37948717948717947,,,0.18518518518518517,,,0.729064039408867,,,0.2702702702702703,,,0.43974358974358974,,,0.2916803849747671,,,0.30430536762806143,,,0.594,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCTText_CrossAttention,十堰市人民医院,strict_loco,496,0.6771214896214897,,,0.17239276298308445,,,0.03571428571428571,,,1.0,,,1.0,,,0.9454545454545454,,,0.06896551724137931,,,0.5178571428571429,,,0.13363689376189747,,,0.15247361416563968,,,0.0020161290322580645,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCTText_CrossAttention,恩施州中心医院,strict_loco,406,0.7554905239687848,,,0.6587713118145344,,,0.08461538461538462,,,1.0,,,1.0,,,0.6987341772151898,,,0.15602836879432624,,,0.5423076923076923,,,0.23275348523863823,,,0.2148883278907675,,,0.027093596059113302,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCTText_CrossAttention,武大人民医院,strict_loco,89,,,,1.0,,,0.8764044943820225,,,,,,1.0,,,0.0,,,0.9341317365269461,,,0.8764044943820225,,,0.17527421564335466,,,0.25631140693586274,,,0.8764044943820225,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCTText_CrossAttention,荆州市第一人民医院,strict_loco,406,0.5641983446861496,,,0.12259237534587668,,,0.0,,,1.0,,,,,,0.9088669950738916,,,0.0,,,0.5,,,0.7520112828899791,,,0.7737778393836516,,,0.0,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCTText_CrossAttention,襄阳市中心医院,strict_loco,500,0.5330419580419581,,,0.28153150048759784,,,0.1,,,0.9615384615384616,,,0.4230769230769231,,,0.7911392405063291,,,0.16176470588235295,,,0.5307692307692308,,,0.4650873155237587,,,0.46970959655989636,,,0.052,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCT_EarlyConcat,十堰市人民医院,strict_loco,496,0.6580433455433455,,,0.12681590455636457,,,0.0,,,0.9935897435897436,,,0.0,,,0.9432048681541582,,,0.0,,,0.4967948717948718,,,0.13045675157463094,,,0.14838984948936304,,,0.006048387096774193,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCT_EarlyConcat,恩施州中心医院,strict_loco,406,0.6758082497212932,,,0.5689190710462714,,,0.16923076923076924,,,0.9818840579710145,,,0.8148148148148148,,,0.7150395778364116,,,0.2802547770700637,,,0.5755574136008919,,,0.2729052047504829,,,0.2425918878302203,,,0.0665024630541872,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCT_EarlyConcat,武大人民医院,strict_loco,89,,,,1.0,,,0.6179775280898876,,,,,,1.0,,,0.0,,,0.7638888888888888,,,0.6179775280898876,,,0.4130022187363617,,,0.4774899069736574,,,0.6179775280898876,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCT_EarlyConcat,荆州市第一人民医院,strict_loco,406,0.5140262213432946,,,0.09452069955872834,,,0.3783783783783784,,,0.6016260162601627,,,0.08695652173913043,,,0.9061224489795918,,,0.1414141414141414,,,0.4900021973192705,,,0.5706659577827249,,,0.5921796591897789,,,0.39655172413793105,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCT_EarlyConcat,襄阳市中心医院,strict_loco,500,0.555990675990676,,,0.27296057313467026,,,0.42727272727272725,,,0.6641025641025641,,,0.2640449438202247,,,0.8043478260869565,,,0.3263888888888889,,,0.5456876456876456,,,0.40832045122753435,,,0.41191655012325046,,,0.356,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCT_LateFusion,十堰市人民医院,strict_loco,496,0.5751678876678876,,,0.1492681130534801,,,0.17857142857142858,,,0.9166666666666666,,,0.11363636363636363,,,0.9491150442477876,,,0.1388888888888889,,,0.5476190476190476,,,0.16306519266770553,,,0.26728175836503487,,,0.08870967741935484,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCT_LateFusion,恩施州中心医院,strict_loco,406,0.67020624303233,,,0.5438842474022998,,,0.36153846153846153,,,0.8731884057971014,,,0.573170731707317,,,0.7438271604938271,,,0.44339622641509435,,,0.6173634336677815,,,0.22167279602308268,,,0.15653314135327306,,,0.2019704433497537,,,not_available_in_existing_step2_center_level_bootstrap
ColposcopyOCT_LateFusion,武大人民医院,strict_loco,89,,,,1.0,,,0.4157303370786517,,,,,,1.0,,,0.0,,,0.5873015873015873,,,0.4157303370786517,,,0.5368862375638849,,,0.6609437749789444,,,0.4157303370786517,,,not_available_in_existing_step2_center_level_bootstrap
