center_display,clean_z1_logit,clean_z2_logit,clean_z3_logit
Enshi,0.1038382973588961,-0.38305217833232996,0.299110224030428
Jingzhou,-0.20801979412315133,0.08263713107203267,0.4107108613608651
Shiyan,-0.1505242139469211,0.14401343138237446,-0.3836077842742607
Wuhan Renmin,0.12811253012717752,-0.2856334732306664,-0.007367028221234532
Xiangyang,0.014865197628462858,0.024298845368343678,-0.18090079141743198
