model_name,calibration_variant,uses_unlabeled_target_distribution,auroc,brier,ece,sensitivity,specificity,ppv,npv,cin3_sensitivity,cin3_false_negatives,referral_rate
BioMedCLIP_Finetuned,full_model_calibration,True,0.6377163282041332,0.35451137897086993,0.3686153467432201,0.139475853633157,0.9515697084228367,0.5742027925126516,0.6704472107193882,0.09199372056514914,174,0.11475080533569493
BioMedCLIP_Finetuned,logit_median_matching_target_unlabeled,True,0.6377163282041332,0.35451137897086993,0.3686153467432201,0.139475853633157,0.9515697084228367,0.5742027925126516,0.6704472107193882,0.09199372056514914,174,0.11475080533569493
BioMedCLIP_Finetuned,no_calibration,False,0.6376430842284501,0.3432568381886596,0.3662046154692653,0.6062688419991791,0.6094992567818655,0.4087579734329748,0.7064209051689316,0.6430472630414082,56,0.46365371011485923
BioMedCLIP_Finetuned,temperature_scaling_val_only,False,0.6377163282041332,0.2780828320830343,0.3437016916739113,0.2191419816138917,0.983974358974359,0.6710526315789473,0.6644523255757961,0.163265306122449,151,0.2107056179775281
BioMedCLIP_Finetuned,threshold_lock_only,False,0.6376430842284501,0.3432568381886596,0.3662046154692653,0.3295469729177595,0.8606044538706257,0.5675287356321839,0.6786552200810477,0.24754862380008752,139,0.2692470249626391
ClinicalOnly_Logistic,full_model_calibration,True,0.6909638629329775,0.2673950361405549,0.35020691059464976,0.6198201798201798,0.3786099328384588,0.19080485667107042,0.6992675803596501,0.5385754175566821,105,0.5100578738280629
ClinicalOnly_Logistic,logit_median_matching_target_unlabeled,True,0.6909638629329775,0.2673950361405549,0.35020691059464976,0.6198201798201798,0.3786099328384588,0.19080485667107042,0.6992675803596501,0.5385754175566821,105,0.5100578738280629
ClinicalOnly_Logistic,no_calibration,False,0.6909638629329775,0.22537647243810105,0.3233321859204847,0.6378479825670837,0.6239064723423153,0.41021802423073306,0.6884049973168658,0.5365342795377923,63,0.47409007457903113
ClinicalOnly_Logistic,temperature_scaling_val_only,False,0.6908033290224436,0.21677592244344196,0.31933919076903183,0.7685170766069642,0.28867102174366227,0.34602341744726367,0.7072986826312123,0.6802175283732661,58,0.6683277240450867
ClinicalOnly_Logistic,threshold_lock_only,False,0.6909638629329775,0.22537647243810105,0.3233321859204847,0.7702419809161383,0.3783315659243549,0.35990376845084293,0.7170525770525771,0.6531683480453973,52,0.6211514389985663
ClinicalOnly_XGBoost,full_model_calibration,True,0.647054760320932,0.28841815329165005,0.31455093211679835,0.6319297222668009,0.4215097071539277,0.35415885562505334,0.7089458200879901,0.5506605148364516,106,0.5334395126027314
