condition,dropout_rate,status,n_repeats,auroc,auroc_sd,auprc,auprc_sd,sensitivity,sensitivity_sd,specificity,specificity_sd,ppv,ppv_sd,npv,npv_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,brier,brier_sd,ece,ece_sd,referral_rate,referral_rate_sd,cin3_sensitivity,cin3_sensitivity_sd,cin3_specificity,cin3_specificity_sd,cin3_false_negatives,cin3_false_negatives_sd,cin3_referral_rate,cin3_referral_rate_sd,notes
random_modality_dropout_10,0.1,PASS_FEATURE_CACHE_PROXY,5,0.6314744453563264,0.0054396592246214,0.3095421878548328,0.0078255733310194,0.2380710659898477,0.0060595616174179,0.8886227544910179,0.007205929775948,0.3595023793913628,0.0119046434490626,0.8164791541747942,0.0010602640365999,0.2863260225697844,0.0050415455742044,0.5633469102404328,0.0029628057120864,0.2800593506313007,0.0028639115830561,0.2722172986067957,0.0034094134053198,0.1376910911966262,0.0065565869649915,0.2942408376963351,0.0217135511553169,0.889917936694021,0.0078795252116794,134.8,4.147288270665544,0.1286241433842909,0.0065311079037237,Patient-level random dropout predictions generated from locked component predictors; no raw-image checkpoint was re-run.
random_modality_dropout_30,0.3,PASS_FEATURE_CACHE_PROXY,5,0.605673255857152,0.0105827635043238,0.2811588495122022,0.0123720381629409,0.2233502538071066,0.0190777872821991,0.8781104457751164,0.0097034185410337,0.324715497469732,0.0220531667193689,0.8117907485784162,0.0037948698368018,0.2644378166272095,0.0193091849265685,0.5507303497911116,0.0097740491518481,0.2863026962346492,0.0050086004500454,0.2763482514230872,0.0040398560022298,0.1429625724828676,0.0093440630336406,0.2659685863874345,0.0397699036959852,0.8783118405627199,0.0100813816940181,140.2,7.596051605933177,0.1362150764364786,0.0097386960897454,Patient-level random dropout predictions generated from locked component predictors; no raw-image checkpoint was re-run.
random_modality_dropout_50,0.5,PASS_FEATURE_CACHE_PROXY,5,0.5910608562908024,0.0064523491959029,0.2671461685288412,0.0114048446735381,0.2411167512690354,0.012172161226682,0.8504324683965402,0.0059023965711821,0.2972329107040275,0.0181594093303542,0.8104177768457854,0.0033898888682882,0.2662326166780077,0.0145438327268499,0.5457746098327879,0.0086776537269513,0.2986296027850343,0.0023460893876411,0.2920196438304437,0.002349448609127,0.168581971534001,0.0029679890901969,0.2827225130890052,0.0269519113638403,0.8500586166471278,0.0057641358822694,137.0,5.1478150704935,0.1633104902477596,0.0040387941611761,Patient-level random dropout predictions generated from locked component predictors; no raw-image checkpoint was re-run.
