stratum_type,stratum,n,auroc,sensitivity,specificity,ppv,npv,false_negatives,false_positives,referral_rate,cin3_false_negatives,notes
hpv,"31,33,35,39,45,51,52,56,58,59,66,68",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"31,33,35,39,45,51,52,56,58,59,66,68,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"31,58",1,,1.0,,1.0,,0,0,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"31,82",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,33,6,0.25,0.0,0.75,0.0,0.6,2,1,0.16666666666666666,0,
hpv,"33,18",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"33,35",2,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"33,51",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"33,51,56",1,,1.0,,1.0,,0,0,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"33,52",3,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"33,53",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,35,1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"35,51,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"35,51,56,66,6,42",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,39,14,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"39,11",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"39,58",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"39,81,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,40,1,,1.0,,1.0,,0,0,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"40,31",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,42,3,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"42,81,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,43,4,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"43,52",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,45,2,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"45,52",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"45,53",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,46,1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,5,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
