condition,dropout_rate,status,n_repeats,auroc,auroc_sd,auprc,auprc_sd,sensitivity,sensitivity_sd,specificity,specificity_sd,ppv,ppv_sd,npv,npv_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,brier,brier_sd,ece,ece_sd,referral_rate,referral_rate_sd,cin3_sensitivity,cin3_sensitivity_sd,cin3_specificity,cin3_specificity_sd,cin3_false_negatives,cin3_false_negatives_sd,cin3_referral_rate,cin3_referral_rate_sd,notes
random_modality_dropout_10,0.1,PASS_FEATURE_CACHE_PROXY,5,0.6314744453563264,0.0054396592246214095,0.30954218785483284,0.007825573331019407,0.23807106598984773,0.006059561617417935,0.8886227544910179,0.007205929775948026,0.35950237939136287,0.011904643449062613,0.8164791541747942,0.001060264036599993,0.2863260225697844,0.005041545574204407,0.5633469102404328,0.0029628057120864794,0.2800593506313007,0.002863911583056129,0.2722172986067957,0.0034094134053198008,0.13769109119662626,0.006556586964991506,0.2942408376963351,0.021713551155316983,0.889917936694021,0.00787952521167947,134.8,4.147288270665544,0.12862414338429098,0.00653110790372371,Patient-level random dropout predictions generated from locked component predictors; no raw-image checkpoint was re-run.
random_modality_dropout_30,0.3,PASS_FEATURE_CACHE_PROXY,5,0.605673255857152,0.010582763504323899,0.2811588495122022,0.012372038162940933,0.2233502538071066,0.019077787282199117,0.8781104457751164,0.009703418541033777,0.32471549746973205,0.022053166719368977,0.8117907485784162,0.003794869836801811,0.26443781662720955,0.019309184926568544,0.5507303497911116,0.009774049151848136,0.28630269623464927,0.005008600450045412,0.2763482514230872,0.004039856002229823,0.14296257248286767,0.00934406303364069,0.26596858638743454,0.03976990369598522,0.8783118405627199,0.01008138169401813,140.2,7.596051605933177,0.13621507643647862,0.009738696089745478,Patient-level random dropout predictions generated from locked component predictors; no raw-image checkpoint was re-run.
random_modality_dropout_50,0.5,PASS_FEATURE_CACHE_PROXY,5,0.5910608562908024,0.006452349195902953,0.2671461685288412,0.0114048446735381,0.24111675126903548,0.012172161226682025,0.8504324683965402,0.005902396571182128,0.2972329107040275,0.018159409330354228,0.8104177768457854,0.0033898888682882987,0.2662326166780077,0.01454383272684991,0.5457746098327879,0.008677653726951307,0.29862960278503436,0.0023460893876411167,0.29201964383044376,0.002349448609127048,0.16858197153400106,0.0029679890901969995,0.28272251308900526,0.026951911363840318,0.8500586166471278,0.005764135882269424,137.0,5.1478150704935,0.16331049024775962,0.0040387941611761576,Patient-level random dropout predictions generated from locked component predictors; no raw-image checkpoint was re-run.
