condition,dropout_rate,referral_rate,cin3_sensitivity,auroc
random_modality_dropout_10,0.1,0.13769109119662626,0.2942408376963351,0.6314744453563264
random_modality_dropout_30,0.3,0.14296257248286767,0.26596858638743454,0.605673255857152
random_modality_dropout_50,0.5,0.16858197153400106,0.28272251308900526,0.5910608562908024
