representation,center_a,center_b,mmd_distance
clinical_feature_cache,襄阳市中心医院,襄阳市中心医院,0.00105554366317695
visual_before_fusion_proxy,十堰市人民医院,十堰市人民医院,0.0014660166420732423
visual_before_fusion_proxy,十堰市人民医院,恩施州中心医院,0.23853951073835367
visual_before_fusion_proxy,十堰市人民医院,武大人民医院,0.3510356254087408
visual_before_fusion_proxy,十堰市人民医院,荆州市第一人民医院,0.2512791546635986
visual_before_fusion_proxy,十堰市人民医院,襄阳市中心医院,0.1945576232219921
visual_before_fusion_proxy,恩施州中心医院,十堰市人民医院,0.24444137892471485
visual_before_fusion_proxy,恩施州中心医院,恩施州中心医院,0.000924908958628512
visual_before_fusion_proxy,恩施州中心医院,武大人民医院,0.32357717954612597
visual_before_fusion_proxy,恩施州中心医院,荆州市第一人民医院,0.3531826325253602
visual_before_fusion_proxy,恩施州中心医院,襄阳市中心医院,0.20835199633468338
visual_before_fusion_proxy,武大人民医院,十堰市人民医院,0.351035625408741
visual_before_fusion_proxy,武大人民医院,恩施州中心医院,0.3235771795461262
visual_before_fusion_proxy,武大人民医院,武大人民医院,0.0
visual_before_fusion_proxy,武大人民医院,荆州市第一人民医院,0.3029675965085865
visual_before_fusion_proxy,武大人民医院,襄阳市中心医院,0.2253278634390663
visual_before_fusion_proxy,荆州市第一人民医院,十堰市人民医院,0.25587392664388275
visual_before_fusion_proxy,荆州市第一人民医院,恩施州中心医院,0.354639723483547
visual_before_fusion_proxy,荆州市第一人民医院,武大人民医院,0.30296759650858673
visual_before_fusion_proxy,荆州市第一人民医院,荆州市第一人民医院,0.0012809425879924952
visual_before_fusion_proxy,荆州市第一人民医院,襄阳市中心医院,0.2719928532967295
visual_before_fusion_proxy,襄阳市中心医院,十堰市人民医院,0.2202236811174687
visual_before_fusion_proxy,襄阳市中心医院,恩施州中心医院,0.2097150884439225
visual_before_fusion_proxy,襄阳市中心医院,武大人民医院,0.2253278634390663
visual_before_fusion_proxy,襄阳市中心医院,荆州市第一人民医院,0.2942559674240224
visual_before_fusion_proxy,襄阳市中心医院,襄阳市中心医院,0.0027428638040793984
feature_concat_proxy,十堰市人民医院,十堰市人民医院,0.001458260242646503
feature_concat_proxy,十堰市人民医院,恩施州中心医院,0.24077494429122637
feature_concat_proxy,十堰市人民医院,武大人民医院,0.3520424520321319
feature_concat_proxy,十堰市人民医院,荆州市第一人民医院,0.24966450045172173
feature_concat_proxy,十堰市人民医院,襄阳市中心医院,0.19497906243083074
feature_concat_proxy,恩施州中心医院,十堰市人民医院,0.24645230805364293
feature_concat_proxy,恩施州中心医院,恩施州中心医院,0.0009351305035076862
feature_concat_proxy,恩施州中心医院,武大人民医院,0.324605390420482
feature_concat_proxy,恩施州中心医院,荆州市第一人民医院,0.35345370997738734
