representation,center_classifier_accuracy,center_classifier_macro_f1,n
oct_feature_cache,0.9736425935687928,0.9776868231709248,1897
colposcopy_feature_cache,0.9746968898260411,0.9789084836472103,1897
clinical_feature_cache,0.41960991038481815,0.3995432852631142,1897
visual_before_fusion_proxy,0.9957828149710068,0.9964170420205773,1897
feature_concat_proxy,0.9957828149710068,0.9964170420205773,1897
