representation,center_a,center_b,coral_distance
visual_before_fusion_proxy,武大人民医院,十堰市人民医院,0.06909650277358102
visual_before_fusion_proxy,武大人民医院,恩施州中心医院,0.034565789857279115
visual_before_fusion_proxy,武大人民医院,武大人民医院,0.0
visual_before_fusion_proxy,武大人民医院,荆州市第一人民医院,0.04050771862291036
visual_before_fusion_proxy,武大人民医院,襄阳市中心医院,0.07506448604057507
visual_before_fusion_proxy,荆州市第一人民医院,十堰市人民医院,0.07043800810089575
visual_before_fusion_proxy,荆州市第一人民医院,恩施州中心医院,0.04205096064299124
visual_before_fusion_proxy,荆州市第一人民医院,武大人民医院,0.04050771862291036
visual_before_fusion_proxy,荆州市第一人民医院,荆州市第一人民医院,0.0
visual_before_fusion_proxy,荆州市第一人民医院,襄阳市中心医院,0.0780242442256978
visual_before_fusion_proxy,襄阳市中心医院,十堰市人民医院,0.04893430421999197
visual_before_fusion_proxy,襄阳市中心医院,恩施州中心医院,0.0740158816897254
visual_before_fusion_proxy,襄阳市中心医院,武大人民医院,0.07506448604057507
visual_before_fusion_proxy,襄阳市中心医院,荆州市第一人民医院,0.0780242442256978
visual_before_fusion_proxy,襄阳市中心医院,襄阳市中心医院,0.0
feature_concat_proxy,十堰市人民医院,十堰市人民医院,0.0
feature_concat_proxy,十堰市人民医院,恩施州中心医院,0.06514296591329562
feature_concat_proxy,十堰市人民医院,武大人民医院,0.06913371559332476
feature_concat_proxy,十堰市人民医院,荆州市第一人民医院,0.07071804074997534
feature_concat_proxy,十堰市人民医院,襄阳市中心医院,0.04925871138320285
feature_concat_proxy,恩施州中心医院,十堰市人民医院,0.06514296591329562
feature_concat_proxy,恩施州中心医院,恩施州中心医院,0.0
feature_concat_proxy,恩施州中心医院,武大人民医院,0.0344286969098488
feature_concat_proxy,恩施州中心医院,荆州市第一人民医院,0.042403682475179075
feature_concat_proxy,恩施州中心医院,襄阳市中心医院,0.07424962019684596
feature_concat_proxy,武大人民医院,十堰市人民医院,0.06913371559332476
feature_concat_proxy,武大人民医院,恩施州中心医院,0.0344286969098488
feature_concat_proxy,武大人民医院,武大人民医院,0.0
feature_concat_proxy,武大人民医院,荆州市第一人民医院,0.04072484440361356
feature_concat_proxy,武大人民医院,襄阳市中心医院,0.07525395075624615
feature_concat_proxy,荆州市第一人民医院,十堰市人民医院,0.07071804074997534
feature_concat_proxy,荆州市第一人民医院,恩施州中心医院,0.042403682475179075
feature_concat_proxy,荆州市第一人民医院,武大人民医院,0.04072484440361356
feature_concat_proxy,荆州市第一人民医院,荆州市第一人民医院,0.0
feature_concat_proxy,荆州市第一人民医院,襄阳市中心医院,0.07838322078644633
feature_concat_proxy,襄阳市中心医院,十堰市人民医院,0.04925871138320285
feature_concat_proxy,襄阳市中心医院,恩施州中心医院,0.07424962019684596
feature_concat_proxy,襄阳市中心医院,武大人民医院,0.07525395075624615
feature_concat_proxy,襄阳市中心医院,荆州市第一人民医院,0.07838322078644633
feature_concat_proxy,襄阳市中心医院,襄阳市中心医院,0.0
