center,auroc,ece,cin3_false_negatives,referral_rate,auc_drop_vs_best,mean_mmd,mean_coral,mean_shift_distance
十堰市人民医院,0.682844932844933,0.18184191815131268,4,0.016129032258064516,0.05985294898338367,0.2593652398014777,0.06356335840994964,0.16146429910571367
恩施州中心医院,0.7426978818283166,0.14824815654282236,39,0.12315270935960591,0.0,0.28339641180228603,0.05405624137379236,0.1687263265880392
武大人民医院,,0.48405609844211606,14,0.6179775280898876,,0.3014901689107558,0.05488530191575832,0.17818773541325705
荆州市第一人民医院,0.5847799018530726,0.5458799707522846,11,0.11576354679802955,0.15791797997524404,0.2961095684563329,0.058057447103803575,0.17708350778006823
襄阳市中心医院,0.5727738927738928,0.34455810025819034,21,0.448,0.16992398905442385,0.23749763627614023,0.06928637578068532,0.15339200602841277
